station,longitude,latitude
54150000,-42.486,-16.679
54165000,-42.583,-16.193
54195000,-42.310,-16.618
54230000,-42.995,-17.579
54260000,-42.818,-17.278
54300000,-42.597,-17.220
54390000,-42.347,-16.861
54500000,-42.079,-16.851
54580000,-41.503,-16.570
54590000,-41.499,-16.689
54710000,-41.014,-16.427
54770000,-40.739,-16.120
54780000,-40.305,-16.135
54950000,-39.425,-16.014
55340000,-39.545,-17.046
55360000,-39.981,-17.186
55370000,-39.774,-17.252
55380000,-39.623,-17.250
55460000,-40.221,-17.375
55490000,-39.644,-17.512
55510000,-39.664,-17.798
55520001,-41.492,-17.596
55560000,-41.249,-17.488
55610000,-41.122,-17.739
55630000,-40.762,-17.704
55660000,-40.676,-17.320
55699998,-40.382,-17.842
55790000,-41.112,-18.045
55850000,-40.336,-18.564
55900000,-40.915,-18.755
55920000,-40.415,-18.700
55960000,-40.092,-18.643
56028000,-43.301,-20.688
56055000,-43.242,-20.848
56065000,-43.098,-20.912
56075000,-43.088,-20.671
56085000,-42.923,-20.723
56090000,-43.001,-20.715
56240000,-43.182,-20.390
56335001,-43.139,-20.362
56385000,-42.673,-20.700
56415000,-42.649,-20.226
56484998,-42.440,-20.103
56539000,-42.477,-19.777
56570000,-42.446,-19.710
56610000,-43.173,-19.932
56640000,-43.457,-19.970
56775000,-43.019,-19.232
56800000,-43.083,-18.895
56825000,-42.423,-19.190
56845000,-42.713,-18.895
56846000,-42.360,-18.952
56850000,-41.951,-18.883
56860000,-42.603,-18.363
56870000,-42.455,-18.202
56891900,-41.918,-18.575
56920000,-41.642,-18.973
56940002,-41.532,-19.064
56976000,-41.786,-19.743
56983000,-41.728,-20.107
56990000,-41.162,-19.492
56990990,-41.125,-20.078
56991500,-41.058,-19.902
56992000,-41.012,-19.526
56993551,-40.733,-19.559
56995500,-40.687,-19.423
57130000,-40.528,-20.100
57170000,-40.653,-20.316
57250000,-40.813,-20.557
57300000,-40.946,-20.885
57320000,-40.828,-20.777
57350000,-41.409,-20.372
57360000,-41.534,-20.352
57370000,-41.503,-20.430
57400000,-41.511,-20.528
57420000,-41.664,-20.539
57450000,-41.466,-20.748
57490000,-41.200,-20.606
57550000,-41.174,-20.703
57580000,-40.961,-20.957
57700000,-41.921,-20.695
57720000,-41.847,-20.687
57740000,-41.679,-20.774
57770000,-41.648,-21.029
57830000,-41.464,-21.204
57930000,-41.310,-21.224
58030000,-45.044,-22.994
58060000,-45.144,-23.330
58099000,-45.900,-23.369
58142200,-45.907,-23.125
58183000,-45.473,-22.913
58204000,-45.183,-22.812
58220000,-44.975,-22.692
58258000,-44.417,-22.387
58270000,-44.229,-22.478
58380001,-43.286,-22.163
58405000,-43.132,-22.332
58420000,-42.897,-22.199
58425000,-43.008,-22.192
58434000,-43.178,-22.300
58440000,-43.154,-22.140
58470000,-43.505,-21.594
58480500,-43.325,-21.778
58500000,-43.885,-21.854
58516500,-43.444,-21.860
58520000,-43.374,-21.967
58525000,-44.538,-22.331
58530000,-44.389,-22.270
58535000,-44.264,-22.245
58542000,-44.091,-22.152
58550001,-43.819,-22.087
58560000,-43.710,-22.224
58573000,-43.752,-22.158
58585000,-43.559,-22.084
58610000,-43.041,-21.897
58630002,-42.991,-22.035
58645000,-42.677,-22.050
58658000,-42.538,-21.770
58670002,-42.343,-21.658
58710000,-43.199,-21.303
